diagnosis | icd,count
"Degeneratives HWS-Syndrom, BSP HWK 5/6 (06/2021) | M54.82",1
Impingement-Syndrom der linken Schulter 06/2021 | M75.4,1
Bursitis im Schulterbereich links | M75.5,1
Gangunsicherheit | R26.8,1
Myalgie an mehreren Lokalisationen v.a. Schulter rechts und LWS | M79.10,1
Chron. Rückenschmerz ohne Ischialgie | M54.87,1
Osteochondrose der Wirbelsäule Zervikalbereich zwischen C3/C4 bis C6/7 | M42.12,1
LWS-Syndrom bei Protrusionen in L4/5 und L5/ S1 | M54.16,1
Rückenschmerzen Lumbalbereich bei Z. n. Spondylodese L3/L4 | M54.86,1
V.a. rheumatoide Arthritis | M06.9,1
ISG-Syndrom links | M54.17,1
Omalgien links | M25.51,1
Mischform des Asthma bronchiale | J45.9,1
Grundzehengelenk Schmerzen rechts | M25.57,1
"Polyneuropathie, ED 2017 | G62.9",1
Fußschmerzen beidseits | M79.27,1
"Neuropatische Beschwerden der Füße, a.e. bei Morton-Metatarsalgie bds. | M79.27",1
Tremor re. Hand | R25.51,1
"Morbus Parkinson, ED 09/2020, Stadium nach Hoehn & Yahr 1,0 | G20.90",1
Feinmotorikstörung links | R29.2,1
Hyposmie | R43.0,1
REM-Schlafstörung | G47.9,1
Zerebrale Mikroangiopathie | I67.88,1
Belastungsabhängige Schmerzen beide Knie bei | M79.66,1
Restless legs-Syndrom | G25.81,1
Chronische Unterbachschmerzen | R52.9,1
Zervikocephalessyndrom | M53.0,1
"Primär progrediente Multiple Sklerose (EM ca. 2022, ED 01/2024) | G35.9",1
Bein und sensibel betonte Polyneuropathie | G26.9,1
Gelenkschmerzen Füße | R52.2,1
Fibromylgie | M79.70,1
Spondylitis hyperostotica (Forestier-Ott) Zervikothorakalbereich | M48.13,1
Knieschmerzen links | M25.55,1
Hashimoto Thyreoiditits | E06.3,1
Kopf- und Gesichtsschmerzen | G50.1,1
Myofasziales Schmerzsyndrom | M79.10,1
Reizmagen | K30,1
Reizdarmsyndrom mit Diarrhoe | K58.1,1
Supraspinatustendinose mit bursaseitiger Partialruptur links | M75.1,1
Akromioklavikulargelenkarthrose | M19.91,1
Schmerzen mi Hitzegefühl beider Hände | M79.63,1
"Polyneuropathie, EM 03/2020, ED 06/2020 | G63.9",1
"Chronische multifokale Osteomyelitis mit mehrere Lokalisationen, EM 04/18 | M86.30",1
Chronic fatique syndrom | G93.3,1
Ganzkörperschmerzen rechts | R52.9,1
Essentiellen Tremor | G25.0,1
"Ulnare Epikondylopathie bds., rechts mehr als links | M77.0",1
Gonarthrose 4. Grades bei Z. n. Meniskus-OP 2004 | M17.9,1
Craniomandibuläre Dysfunktion rechts betont | K07.9,1
HWS- und BWS-Syndrom | M54.12,1
Gastrointestinale Beschwerden | K58.8,1
"Osteochondrose der Wirbelsäule: Lumbosakralbereich, Prolaps L4/L5 | M42.10",1
LWS-BWS-Syndrom | M54.80,1
- Z.n. NSTEMI mit PTCA und DES-Implantation in RMS 01/2013 | I25.9,1
Dyslipidämie | E78.5,1
Bauchschmerzen bei Z. n. perforierter Appendizitis und Ileus-OP | R10.4,1
Intermittierende Thoraxschmerzen | R52.2,1
Systemischer Lupus erythematodes | M32.1,1
"- Lupus nephritis (Klasse IV und V, Nierenbiopsie vom 07.06.2024) | N08.5",1
Neprotisches Syndrom | N04.9,1
Genese ED 06/2021 | K70.3,1
Ösophagusvarizen Grad I bis II 07/2021 | I85.90,1
Portal-hypertensive Gastropathie | K29.7,1
V.a. Short-Segment-Barett-‚ Ösophagus 07/2021 | K22.7,1
Ganzkörperschmerzen links | G79.70,1
"Chronische Schmerzen, und Taubheit distal US + Fuß rechts, radikulär. L5 | G54.4",1
Großzehen- und Fußhebeparese rechtsbetont | G82.03,1
Harninkontinenz neurogen | N31.0,1
"Arthritis, nicht näher bezeichnet, an nicht näher bezeichneten | M13.99",1
Chronisches Schmerzsyndrom des Bewegungssystems | R52.2,1
Flankenschmerzen rechts | R52.9,1
V.a. Fibromyalgie | M79.90,1
Fußschmerzen link | M25.5,1
Ein- und Durchschlafstörungen | F51.0,1
Klimakterisches Syndrom (Wechseljahresbeschwerden) | N95.1,1
"Systemischer Lupus erythematodes, ED 2007 | M32.9",1
Spondylarthrose L3-S1 | M47.87,1
Chondrose L5/S1 | M42.97,1
Kopfschmerzsyndrom links | G44.8,1
Chronische bronchitis | J45.9,1
Infektanfälligkeit | Z87.0,1
"Z.n. Mamma Ca rechst, 01/2021 | C50.0",1
Atypische Trigeminusneuralgie rechts | G50.0,1
Muskelschmerzen in den Beinen | M79.1,1
Schulterschmerzen links | M70.0,1
Handgelenkschmerzen links | M25.54,1
Hautparästhesien beide Füße re. > li. | R20.2,1
Fingergelenksarthrosen bds. | M19.94,1
Schultergelenksarthrose bds. re. > li. | M19.91,1
"Seropositive CCP-positive rheumatoide Arthritis, ED 1989 | M05.99",1
Sprunggelenkschmerzen rechts | M25.5,1
Chronisches Müdugkeitssyndrom | G93.3,1
inzidenteller MRT-Befund vom 07/2023 | I63.9,1
"Paroxysmales Vorhofflimmern, ED 11/2024, | I48.0",1
- Z. n. Rotatorenmanschettenrekonstruktion rechts am 11.10.2021 | Z98.8,1
"Diabetes mellitus, Typ 1, ED 01/1970 mit Insulinpumpetherapie | E10.90",1
im Bereich der Hand- und Fußgrundgelenke sowie Sonnengeflecht | R52,1
Spondylolyse und ventraler Spondylolisthese LWK 5/SWK 1 | M43.17,1
Schmerzen im Bereich der BWS nach BWK-12-Fraktur 2004 | M54.6,1
Essenzieller Tremor der Hände | G25.0,1
V. a. Restless-Legs-Syndrom | G25.81,1
Zervikalsyndrom | M54.2,1
PCI mit DES-Stenting in ACD 06/2021 | I25.9,1
Nächtlichen Muskelkrämpfen in den unteren Extremitäten | R25.2,1
Anfallsweise auftretendes Wärmegefühl mit Schwitzen | R68.89,1
Polyarthrose | M15.8,1
Zervikobrachial-Syndrom links | M53.1,1
Zervikalneuralgie links | M54.2,1
Rez. Schmerzen linke obere Körperhälfte | M79.60,1
Schmerzen und Bewegungseinschränkungen an der gesamten Wirbelsäule | M54.80,1
Schmerzen in der linken Mittelfinger | M25.5,1
des rechten Unterarms | S58.9,1
Pruritus am Kopf | L29.8,1
"Colitis ulcerosa, ED 2021 | K51.9",1
Chronisches Schmerzsyndrom im kleinen Becken mit Harn- und partieller Stuhlinkontinenz. | R52.2,1
Chronisches Schmerzsyndrom im Bereich der rechten Hand bei rezidivierender Dupuytren’scher Kontraktur | R52.1,1
Schulter-Arm-Syndrom li. | M75.8,1
HWS-Syndrom bei Osteochondrose HWK5/6 | M54.82,1
WS-Syndrom | M54.15,1
HWS-Muskelverspannungen | M62.83,1
Tinnitus aurium bds. | H91.1,1
V.a. Reizdarmsyndrom | K58.2,1
Beidseitige gluteale Schmerzen | R52.9,1
Scherzen in den Beinen | R52.2,1
Obstruktives Schlafapnoe-Syndrom mittleren Schweregrades (AHI 20/h) | G47.33,1
Magenentleerungsstörung | K31.8,1
Chronische Übelkeit | R11.0,1
Paraösophageale Hernie | K44.9,1
Hüfteschmerzen bds. | M25.5,1
"Seroneg. anti-CCP-neg. Rheumatoide Arthritis, ED 07/2020 | M06.0",1
Sekundäres Fibromyalgiesyndrom | M79.70,1
Knieschmerzen beidseits | M25.56,1
Diabetes mellitus Typ II (insulinpflichtig) | E11.9,1
Kniebeschwerden links | M25.56,1
Polyzythämia vera | D45,1
Bandscheibenvorfall L5/S1 | M51.2,1
Ganzkörperschmerzen | G79.70,1
"Idiopathisches Parkinson-Syndrom vom Tremordominanztyp, ED 2020 | G20.1",1
Obstruktives Schlafapnoesyndrom | G74.31,1
"Polymyalgia rheumatica, ED 08/2006 | M35.3",1
Fingerpolyarthrose vom Heberden-Typ | M15.1,1
Manifeste Osteoporose bei Z.n. pathologischer Rippenfraktur | M80.0,1
Epicondylitis radialis humeri bds. | M77.1,1
Thoraxschmerzen | M54.6,1
WS-Syndrom | M56.80,1
des Bewegungsapparates | R52.9,1
Z.n. Herzschrittmacherimplantation bei Sick Sinus Syndrom 2009 | Z95.0,1
Arthralgie | M25.50,1
Skoliose | M41.90,1
Coxarthrose Grad I | M16.9,1
BWS-Syndrom | M54.80,1
V.a. Paroxysmaler Lageschwindel | H81.1,1
Rezidivierende Oberbauchschmerzen | R10.1,1
"Axiale Spondylarthritis, ED 2020, EM 2018 | M46.80",1
Divertikulose und Z.n. Divertikulitis | K57.92,1
Hüfteschmerzen links | M25.5,1
Hypothyreose | E06.9,1
Chronische Frontalsinusitis | J32.1,1
"Crowned-Dens-Syndrom, ED 11/2017 | M48.8",1
"Allergisches Asthma bronchiale, ED 06/2015 | J45.0",1
Glutenunverträglichkeit | K90.4,1
Lymphödem oberen und unteren Extremitäten | I89.00,1
"Colitis ulcerosa, ED 2007 | K51.9",1
"Sjögren Syndrom EM 2017, ED 2022 | E35.0",1
Progressive systemische Sklerose | M34.0,1
Gelenkschmerz Schultergelenk rechts | M25.51,1
Leichtgradige Mitralklappeninsuffizienz | I34.0,1
Multiple Allergien/ Histaminintoleranz | T78.4,1
Hämorrhoiden 3. Grades | K64.2,1
Chronisches myofasziales HWS-BWS-Syndrom | M54.80,1
Okzipitalneuralgie | G44.8,1
Chronische Urtikaria mit Angioödem | T78.3,1
Mischformen des Asthma bronchiale | J45.89,1
Mischformen der Asthma bronchiale | J45.89,1
Chronisches Mügigkeitssyndrom | G93.3,1
Tinnitus aurium bds. | H93.3,1
Eosinophiles Asthma bronchiale | J45.9,1
"Sekundäre Thrombophilie bei erhöhter Faktor-VIII-Aktivität, dauerhafte Antikoagulationstherapie mit Xarelto® (Rivaroxaban) | D68.5",1
Chronisches Schmerzsyndrom mit beidseitigen Unterschenkelschmerzen | R52.2,1
"Z.n. Malignom, Bronchien und Lunge, Z.n. OP 2024 | C34.9",1
Chronisches Fatigue-Syndrom (ME/CFS) | G93.3,1
"Crohn-Krankheit, ED 2012 | K50.9",1
Entzündlicher Zustand der Kiefer | K10.29,1
"Lipödem der oberen und unteren Extremität, Stadium II | E88.21",1
Niereninsuffizienz Stadium CKD G2-3a/A1 mit | N18.9,1
Glossopharyngeusneuralgie links | G52.1,1
"Multiple Schmerzen nach Verletzungen, zuletzt Sturz auf den Kopf 9/2019 | M52.2",1
"CIDP mit Paraprotein (MGUS IgG-Kappa), ED 2018 | G62.88",1
LS Wurzelaffektion | M51.2,1
lumbosacraler Spondylolisthese und aktiviertem Facettenreizzustand | M54.86,1
mit relativer Spinalstenose | M53.1,1
Polyarthralgien und -myalgien | M79.70,1
Hyperkeratotisch- rhagadiformem Hand- und Fußekzem | L30.8,1
Multifokale motorische Neuropathie unter Immunglobulintherapie | G61.8,1
Hypothyreose nach Thyreoidektomie | H03.8,1
"Colitis ulcerosa, ED 1994 | K51.9",1
Pityriasis rubra pilaris | L44.0,1
Erniedrigte Erytemschwelle im UVB-Spektrum (Erytem ab 33 mJ/cm2) | L56.4,1
Aortenaneurysma Typ B | I71.9,1
"Morbus Crohn, ED 1995 | K50.9",1
"Psoriasis-Arthropathie L40.5, | M07.0",1
Psoriasis pustulosa plantaris bds. und Fußsohle links | L40.3,1
Rezidivierende Myokarditiden | I40.0,1
Extrasystolie | I49.4,1
"Colitis ulcerosa, ED 03/2019 | K51.9",1
Schmerzen im Bereich des Oberbauches | R10.1,1
Z. n. Reizdarmsyndrom nach Reisediarrhoe | K58.8,1
"Colitis ulcerosa, ED 1978 | K51.9",1
"Koronare Eingefäßerkrankung, Z.n. NSTEMI mit PCI und Stent der LAD 10/2005 | I25.9",1
Hyperlipoproteinämie | E78.2,1
Unklare Muskelschmerzen | M79.10,1
Zervikobrachial-Syndrom bei Z. n. BSV C5/6 | M53.1,1
Knochennekrose des Talus rechts | M85.87,1
Gelenkschmerz OSG rechts | M25.57,1
LWS-Syndrom bei bek. BSV L4/5 | M54.86,1
Z.n. Clostridien-Enteritis 01/2022 | A04.79,1
Schulterschmerzen links | M79.61,1
Chronische Halsschmerzen | R07.0,1
Chronische Kopfschmerz und Schwindelsymptomatik | R51,1
Neurofibromatose Typ I | Q85.0,1
Rückenschmerzen Lumbalbereich | M54.86,1
Hörverlust | H91.9,1
"Distal symmetrische Polyneuropathie, ED 2017 | G62.9",1
Bipolare affektive Störung | F31.9,1
"Morbus Parkinson ED 2014, Tremordominant | G20.9",1
"Hypopituitarismus, Z.n. operativ. Entfernung eines Hypophysentumors 2011. | E89.3",1
"Colitis ulcerosa, ED 03/2020 | K51.9",1
Koxarthrose rechts | M16.9,1
Impinngement Syndrom Schulter rechts | M75.4,1
Lumboischialgie links | M54.4,1
Bandscheibendegenerationen in den Etagen L4/5 und L5/S1 | M51.3,1
Schmerzen lateralen Kniebereich li. | M25.56,1
Schlaf-Apnoe | G47.39,1
Lumboischialgie S1 rechts bei Bandscheibenvorfall L4/5 re. | M54.4,1
Zervicobrachialsyndrom rechts | M53.1,1
"Gemischte sensibel betonte Polyneuropathie der Beine, beiderseits | G62.88",1
"Diabetes mellitus, Typ II b, ED ca. 2000 | E11.90",1
Substituirte Hypothyreose nach Strumektomie | E03.8,1
Paroxysmaler Schwindel | R42,1
Prurigiformes/Nummuläres Ekzem | L30.0,1
Beinschmerzen | M79.69,1
Koronare-1-Gefäß-Erkrankunq (EF > 60%) mit | I25.9,1
lnsulipflichtiger Diabetes mellitus Typ 2 | E11.80,1
"Morbus Crohn, ED 10/2011 | K50.9",1
Mikrozytäre hypochrome Anämie | D50.9,1
Intrazerebrale Blutung rechts temporo-parietal 02/2012 | I61.9,1
Spastische Hemiparese links | G81.1,1
"Z.n. PTCA/Stenting (DES) des RIVA, RCX 2014,2015 | I25.9",1
Kniebeschwerden beidseits | M23.33,1
"Hypothyreose, Z.n. Hemithyreoidektomie links 8/2011 | E89.0",1
"4-fach Stent-Implantation, zuletzt 2014, gute LVF | I25.9",1
Oberschenkel-Oberarmmuskelnschmerzen | M79.69,1
Seronegative chronische Polyarthritis | M06.00,1
"Diabetes mellitus, Typ 2, orale Therapie | E11.90",1
Hüftschmerzen rechtbetont | M16.1,1
Arterielle Hypertonie | I90.10,1
hochgradigen Stenose des RIVA med. und prox. 5/2020 | I25.9,1
"Sigmadivertikulose, Z.n. Sigmadivertikulitis 06/2019 | K57.30",1
Hüfteschmerzen links | M17.9,1
Chronische Schmerzen bei atypischem Gesichtsschmerz | G50.1,1
Coxarthrose bds. bei Hüftdysplasierechts | M16.9,1
Leistenschmerzen bds. | R10.3,1
Handgelenksarthrose bds. | M19.93,1
Karpaltunnetsyndrom bds. | G56.0,1
"erosivem Verlauf RF-/CCP-Ak-/ANA-positiv, HLA-B27 negativ | M08.09",1
Hochgradige Spinalkanalstenose L3/4 | M48.06,1
Claudicatio radikularis | G55.3,1
Z.n. Bandscheibenoperation LWK4/5 re. | M96.88,1
Fußheberparese rechts | G57.3,1
autosomal dominanter polyzystischer Nierenerkrankung | N18.9,1
Renale tubuläre Acidose | N25.8,1
Hypomagnesiämie | E83.4,1
Hyperkaliämie | E87.5,1
Hyperphosphatämie | E83.38,1
Renale Anämie | D63.8,1
Peritonealdialyse | Z49.2,1
Chron. ISG-Reizsyndrom rechts | M54.17,1
Massive Osteochondrose L5/S1 | M42.97,1
Schlafapnoe Syndrom mit CPAP behandelt | G47.31,1
Spannungskopfschmerzen | G44.9,1
Polyneuropathie-Syndrom der Füße | G62.88,1
Xerostomie bei glandulärer Atrophie Gll. parotides bds. | K11.7,1
HWS-Syndrom M54.82 LWS-Syndrom | M54.86,1
Asthma bronchiale | J49.9,1
Occipitalis-minor-Neuralgie links | G58.9,1
Neuroborreliose mit peripheres Fazialisparese links | A69.2,1
Rückenschmerzen Lumbalbereich bei Z. n. Spondylodese L3/L4 | M54.96,1
Chronische Lumbalgien | M54.5,1
"Sekundäre Nebennierenrindeninsuffizienz, unklarer Genese | E27.9",1
unter Schilddrüsenhormonsubstituion | E06.3,1
Bursitis trochanterica links | M70.6,1
Z.n. Hüft TEP AMIS 25.01.2018 rechts | Z96.64,1
Syndrom der unruhigen Beine (RLS) | G25.81,1
Urtikaria | L50.9,1
Morbus Darier | L11.9,1
"Koronare 3-Gefäßerkrankung, Z.n. Stent Behandlung 8/2018 | I25.9",1
Übermäßige Schwitzen | R61.9,1
Dyspnoe bei Belastung | R06.0,1
Stattgehabte Covid-19-Infektion 4/2021 | U08.9,1
Bandscheibenvorfall LWK5/SWK1 | M51.2,1
"Kolonkarzinom, ED 5/2019 | C18.8",1
Gemischtes Schlafapnoe-Syndrom | G47.30,1
Chronische Gastritis | K29.7,1
Adipositas Grad 2 | E66.81,1
"Morbus Meniére rechts, ED 2/2018 | H81.10",1
"Schlafapnoesyndrom, ED 9/2013 | G47.39",1
Chron. kalzifizierende Pankreatitis | K86.1,1
"Colitis ulcerosa, ED 2010 | K51.9",1
Psoriasisarthritis | L40.5,1
Gelenkschmerzen an mehreren Lokalisationen | M25.50,1
Allerg. Asthma bronchiale | J45.0,1
Substituierte Hypothyreose | E03.8,1
Mikroskopische lymphozytäre Proktokolitis | K52.8,1
Anhaltende Schmerzen im Bereich der rechten Gesichtshälfte bei | G50.1,1
der rechten Kieferhöhle 3/2012 | D16.42,1
Z. n. mehreren OP`s bei Z. n. Fersenbeinfraktur 1994 | M79.67,1
Rosazea-artige akneiforme Follikulitis | L73.9,1
Rezidivierenden Pulpitiden | K04.0,1
Hüftenbeschwerden bds. | M16.9,1
"Migräne mit und ohne Aura G43.1, | G43.0",1
Chron. Spannungskopfschmerz | G44.2,1
Polyneuropathie mit Gangataxie | G62.2,1
Cerebelläre Atrophie | G31.9,1
Cerebrale Microangiopathie | I67.9,1
"Polyserositis a. e. autoinflammatorischer Genese, EM 9/2015, ED 8/2017 | R09.1",1
Intermittierende Niereninsuffizienz Stadium I nach KDIGO | N18.1,1
sensomotorische axonale Polyneuropathie DD paraneoplastisch assoziert | G62.9,1
Cervicogener Kopfschmerz | G44.8,1
Tinitus aurium links | H93.1,1
LWS-Syndrom rechts | M54.86,1
Kopfschmerzen | R44.2,1
"Axonale-demyelinisierende Polyneuropathie, ED 1995 | G62.9",1
subtotaler Resektion links 7/2019 | E03.8,1
Chronische Lumboglutealgie sowie Lumboischialgie rechtsseitig mit | M54.4,1
Chronische myofasziale Schmerzen rechts bei | T84.9,1
Ellenbogenschmerzen rechts | M79.62,1
Gonalgie bds. | M25.56,1
KHK mit Z.n. 2-maliger Stentimplantation (2005) | I25.9,1
Chronische Gonalgie rechts | M25.56,1
Schwindel und Taumel | R42,1
Diabetes mellitus Typ 1 | E10.90,1
Vestibuläre Migräne | G43.1,1
LWS-Syndrom | M54.97,1
Pseudoradikuläres lumbales Schmerzsyndrom links | M54.97,1
Schmerzen beider Füße | M79.67,1
"Sensomotorische demyelisierende Polyneuropathie, (ED 2010) | G62.9",1
Muskelschmerzen | M79.1,1
Z.n. traumatischer Schulterluxation links mit | S43.0,1
"KHK, Z.n. Stentimplantation im 2020 | I25.9",1
Z.n. Apoplex 2007 und 2016 | I63.9,1
BWS-LWS-Syndrom | M54.90,1
Morbus Ormond ED 03/2015 | N13.5,1
"KHK, Z.n. Akuter Vorderwandinfarkt, Stent-PTCA am 11.10.2018 | I25.9",1
Chronische Niereninsuffizienz Stadium 2-3 | N18.2,1
Hyperthyreose (unter thyreostatische Therapie) | E05.9,1
Impinngement Syndrom Schulter links | M75.4,1
Karpaltunelsyndrom li | G56.0,1
Lumboischialgie beidseits | M54.4,1
"Initial, nicht-invasives papilläres Urothelkarzinom (pTa, low-grade (G1) | C67.9",1
Z.n. Polytrauma am 02.11.2011 | T07,1
Posttraumatische Belastungsstörung | F43.1,1
Chronische Schmerzstörung mit somatischen und psychischen Faktoren | F45.1,1
"Rezidivierende depressive Störung, ggw. mittelgradige Episode | F33.1",1
"Colitis ulcerosa, ED 2012 | K51.9",1
Chronische Niereninsuffizienz (Std. II) | N18.2,1
Ganzkörperschmerz | M79.70,1
Chronisch degeneratives Wirbelsäulensyndrom | M54.80,1
Hüftschmerzen bds. | M16.9,1
"Morbus Crohn, ED 2009 | K50.9",1
"Morbus Crohn, ED 2015 | K50.9",1
Pruritus | L29.9,1
Dorsalgie bei chronischem BWS- und LWS-Syndrom | M54.80,1
WS-Syndrom | M53.0,1
Sensibilitätsstörung der oberen und unteren Extremitäten | R20.8,1
"Obstruktives Schlafapnoesyndrom, ED 2009 | G47.31",1
"Z.n. Rektum-Karzinom, ED 2000 und Rezidiv 2007 | C20",1
Polyneropathie | G62.9,1
"Lambda, ED 10/11 | D42.7",1
Bandscheibenvorfall L5/S1 rechts mit sensiblem Syndrom | M51.2,1
"M. Scheuermann, ED 2004 | M42.09",1
"Pancolitis ulcerosa, ED 05/2013 | K50.9",1
"Spondylolisthesis L4/5, Grad I (Meyerding) | M43.16",1
Hypothyreose bei Z.n. Thyreoidektomie 2015 | E03.8,1
Chron. Lumboischialgie links bei Bandscheibenvorfall LWK 4/5 mit | M51.2,1
Lymphödem Unterschenkel rechts | I89.0,1
COPD GOLD-Stadium 1 | J44.99,1
Schlafapnoe-Syndrom | G47.31,1
"Obstruktives Schlafapnoesyndrom, CPAP-Versorgung | G47.31",1
"Colitis ulcerosa, ED 10/2018 | K51.9",1
Blasenspeicherstörung im Rahmen von erhöhten Restharnmengen | N32.8,1
Z.n. mehrfachen Operationen im Segment L5/S1 | M51.9,1
Trigeminusneuralgie V2 links | G50.0,1
Hypothyreose bei Z.n. Thyreoidektomie 2005 | E89.0,1
"Rheumatoide Arthritis, RF negativ, ACPA hoch positiv, ED 2017 | M05.80",1
Beginnende Pangonarthrose | M17.9,1
Hallux rigisdus bds. | M20.2,1
Belastungsabhängige Kniebeschwerden bds. | M79.66,1
Zervikothorakales Schmerzsyndrom | M54.92,1
Polyneuropathie i.R. einer | G62.9,1
IgM-Kappa-Gammopathie | D47.2,1
Chronisches Schmerzsyndrom nach Symphysensprengung | R52.2,1
Sakrale Schmerzen unklarer Genese | R10.2,1
Polyneuropathie nach Chemotherapie | G62.20,1
Kopfschmerz vom Spannungstyp | G44.2,1
"Z.n. Mammakarzinom, OP Mastektomie rechts, Chemotherapie 2020 | C50.9",1
- Dystal-symetrische Polyneuropathie | G60.9,1
COVID-19-Impfstoff | U12.9,1
Urothelkarzinom des rechten Harnleiters 08/2018 | C68.9,1
Niereninsuffizienz | N18.9,1
Z.n. reaktiver Arthritis | M02.90,1
Sensomotorische axonale Polyneuropathie unklarer Ätiologie (EM 1990) | G62.9,1
beginnender Coxarthrose | M16.9,1
Bursitis trochanterica mit Tendopathie des M. tensor fasciae latae bds. | M77.9,1
V.a. Kälteagglutinin-Erkrankung | D59.1,1
- nach Infektion mit Mycoplasma pneumoniae | B96.0,1
"Diarrhoe, Verdauungsstörung | K58.1",1
"Gelenkbeteiligung, schwerpunktmäßig Hände | M34.9",1
Koronarherzkrankheit | I25.19,1
Diffuse abdominale Beschwerden | R10.4,1
"Diabetes mellitus, Typ II | E11.90",1
Z.n. Myokardinfarkt 2012 | I25.29,1
Failed-back-surgery-Syndrom | M54.5,1
Wirbelsäle Syndrom | M54.80,1
Coxarthrose beidseits | M16.9,1
ISG-Syndrom | M54.17,1
Essentielle Thrombozythämie JAK 2-V617F-Mutation | D47.3,1
Chronische Spannungskopfschmerzen | G44.2,1
Assoziation mit Cluster Kopfschmerzen | G44.0,1
Myofasziales Schmerzsyndrom der Schlulter- und Nacken | M79.19,1
Rez. Polychondritis | M94.1,1
"Diabetes mellitus Typ II, Steroidinduziert | E11.90",1
Nebenniereninsuffizienz | E27.4,1
Polymyalgien | M7,1
Migräne mit Aura | G43.9,1
Infektgetriggertes Asthma bronchiale | J45.1,1
"Sjögren-Syndrom ohne relevante Organbeteiligung, ED 07/2020 | M35.0",1
Polyarthragien | M25.50,1
Hypothyreose bei Z.n. Hashimoto Thyreoiditis | E03.8,1
Sigmadivertikulose | K57.30,1
"Morbus Crohn, ED 2005 | K50.9",1
Pyoderma gangrenosum li. Vorfuß medial | L88,1
Neuralgie der Flanken/ Rücken ED 7/19 | R52.2,1
"Z. n. Not-OP wegen Darmperforation, Sepsis n. gyn. Eingriff 12/2018, Narbenherniotomie-OP 5/2019 | Z98.8",1
Chron. abdominelle Schmerzen und Flankenschmerzen bds. | R10.4,1
Z. n. Dünndarmsegmentresektion 12/2018 | Z90.4,1
Psoriasis-Arthropathie | L40.5,1
-Arthritis mehrere Lokalisationen | M07.10,1
Hypothyreose nach subtotaler Thyreoidektomie | E89.8,1
Chronische Müdigkeitssyndrom | G93.3,1
"Fibromyalgie, ED 2011 | M79.70",1
Periodische Beinbewegungen | G25.80,1
V.a. Nahrungsmittelunverträglichkeit | T78.1,1
"Sensible und axonal betonte Polyneuropathie, ED 8/2013 | G62.9",1
Zervikobrachial Syndrom links | M53.1,1
Koxarthrose rechts | M16.1,1
Chronische Niereninsuffizienz Stadium II | N18.2,1
Chronische Bronchitis | J41.1,1
Schlafapnoe-Syndrom | G47.39,1
"Paroxysmales Vorhofflimmern, ED 7/2016, Antikoagulantientherapie | I48.0",1
Chronischer Schmerz der rechten Bein | M79.60,1
Paroxismales Vorhofflimmern mit OAK | I48.9,1
Kopfschmerz-Symptomatik | G44.2,1
Steatosis hepatis | K76.0,1
nach traumatischer HWK 6/7 Fraktur | M54.83,1
Coccygodynie | M53.3,1
Intermittier. belastungsabh. Schmerz im interdigitalraum I/II li Fuß | M79.67,1
Episodischer Spannungskopfschmerz | G44.2,1
Bewegungsabhängige Knieschmerzen links | M25.56,1
Chron HWS-Syndrom mit Cervicobrachialgie links bei BSP C 5/6 und Foramenstenose C 5/6 links | M53.1,1
Chron. Lumboischialgie links bei degenerativen L WS-Veränderungen | M54.86,1
Ausgeprägte BWS-/LWS-Skoliose | M41.99,1
Rosazea Grad II | L71.8,1
LWS-Schmerzen | M54.86,1
Tennisellbogen rechts | M77.1,1
"Morbus Crohn, ED 07/2011 | K50.9",1
"HLA B27 pos. M. Crohn assozierte Spondylarthrop.,ED 2002 | M45.00",1
Z.n. Iridozyklitis 2002/2008 | H20.8,1
Knieschmerzen links | M65.96,1
Lumbalsyndrom bei Spondylarthrose der LWS | M54.86,1
Schultersteife li. bei Tendinitis calcarea | M65.2,1
Brennende Schmerzen in den Beinen | M79.66,1
Atypischer Gesichtsschmerz links | G50.1,1
Gonarthrose bds. | M17.0,1
Impingementsyndrom li. Schulter | M75.4,1
Polyarthralgie | M25.90,1
"Z.n. Mama Ca rechts, ED 4/2016 | C50.9",1
Hämochromatose | E83.1,1
Colitis ulcerosa ED 2010 | K51.9,1
Tinniutus aurium | H93.1,1
"Chronisch-rezidivierende Rückenschmerzen, HLA-27 negativ | M54.80",1
Knieschmerzen | M79.66,1
Hand- und Fingergelenkschmerzen | M79.64,1
Chronisches LWS-Syndrom | M54.80,1
Schultersteife rechts | M25.61,1
"Thorakale Beschwerden, am ehesten muskuloskelettal | R07.4",1
Z.n. Subarachnoidalblutung Hunt & Hess I mit Hämatocephalus internus bei | I60.2,1
Ruptur eines Aneurysmas der A. pericallosa rechst am 26.01.2015 | I62.10,1
Rez. Coxalgien bds. bei Dysplasiecoxarthrose | M16.2,1
Rez. Cervikalgien bei paravertebralen Muskelhartspann | M54.82,1
Rez. Fußschmerzen bds. bei leichtem Senk-Spreizfuß bds. | M79.67,1
"Rheumatoide Arthritis, ED 06/2013, Rheumafaktor negativ,CCP-positiv | M06.09",1
Reizdarm Syndrom | K58.0,1
Deg. WS-Syndrom | M54.86,1
"Anti-CCP-Ak, Rheumafaktor positive rheumatoide Arthritis, ED 1993 | M05.90",1
Z.n. Papillitis links 01/2017 | H46,1
Würgereiz und Brechneigung | R11,1
Chron. rez. Lumbalsyndrom | M54.86,1
"Morbus Crohn, ED 2009 | K50.1",1
Zervikobrachiasyndrom | M53.1,1
