diagnosis,count
intraop. bestrahlung 6/2021,1
sjögren-syndrom mit reizhusten,1
"chronische polyarthritis, ed 2015",1
chron. sinusitis,1
"z.n. mammakarzinom rechts, ed 2016",1
chron. degenerat. wirbelsäulensyndrom,1
schultergelenkschmerzen,1
metatarsalgie rechts,1
acg-arthrose rechts,1
epicondylitis humeri radialis beidseits,1
syndrom polyzystischer ovarien,1
multiple nahrungsmittelallergien bzw. –unverträglichkeiten,1
"asthma bronchiale, ed 1984",1
frozen shoulder nach tuberculum majus fractur 01/2017,1
hypothyreose bei z.n. subtotaler thyreoidektomie (2005) bei m. basedow,1
z. n. atypischer pneumonie durch mykoplamen 01/2022,1
anankastische persönlichkeitsstruktur,1
"fingergelenke links, daumensattelgelenke und sprunggelenke)",1
nach konservativen therapie einer spondylodiszitis l3/4,1
z. n. atypischer pneumonie durch mykoplasmen 01/2022,1
beginnende polyarthrose der fingergelenke bds.,1
z.n. mammakarzinom rechts unten ed 10/2017,1
colitis ulcerosa ed 1984,1
chronisch rezidivierende urticaria,1
axonale polyneuropathie,1
parageusie bei z.n. hirnstammischämie 3/2015,1
hypothyreose bei z.n. thyreoidektomie 1990,1
"lymph- und lipödem arme und beine i89.09,",1
unklare hepatopathie mit fluktuirender transamninasenaktivität,1
"colitis ulcerosa, ed 2016",1
rezidivierende herpes zoster gluteal links,1
hypothyreose postoperativ,1
v.a. tolosa-hunt syndrom,1
"colitis ulcerosa mit gelenkbeteiligung, ed 2006 k51.9,",1
"morbus crohn, ed 06/2003",1
lactoseintoleranz,1
lws-schmerzen´,1
wechseljahrebeschwerden,1
"z.n. mama ca rechts, ed 12/2017",1
lws-syndrom links,1
lupoide rosacea,1
lumbosakralsyndrom,1
"spondylarthrose lwk3/4 und lwk 4/5, osteochondrose lwk 5/swk 1",1
schmerz. missempfindungen im bereich der füße und unterschenkel bds.,1
beginnende zervikale myelopathie bei,1
spinalkanalstenose hwk4-hwk 7,1
spinalkanalstenose l3/4 bei spondylolisthese meyerding grad 1,1
anamnestisch muskuläre krämpfe und faszikulationen,1
schmerzhafte parästhesien an der füßen,1
"colitis ulcerosa, ed 2000",1
chron rückenschmerzen,1
"rosazeaartige dermatitis, ed 03/2025",1
diabetes insipidus,1
coxarthrose rechts,1
"fibromyalgiesyndrom, ed 2014",1
"impingement syndrom re, ed 2016",1
sclerodermia circumscripta,1
helicobacter pylori-negative geringe gastritis,1
bws-syndrom re,1
"herzrhythmusstörungen mit sves, ves",1
aortenklappe,1
spondylitis ankylosans,1
"hla b27 positiv mit rezidivierender iritis, ed 1998",1
diabetes mellitus typ 2 (diätetisch geführt),1
"hyperkinetisches herzsyndrom, ed 1994",1
schultergelenk schmerzen rechts,1
"restless-legs-syndrom, ed 2016",1
"arterielle hypertonie, ed 12/2006",1
hws- und lws-verspannungen,1
v. a. prurigo-variante bei atopischer disposition,1
mittelfußarthrose bds.,1
plantarfasziitis rechts,1
kalkaneussporn,1
myelitis hwk 3/4 und bwk 5/6 dd autoimmun-entzündlich,1
degeneratives wirbelsäulensyndrom,1
manifeste osteoporose,1
"monoklonale gammopathie unklarer signifikanz (igg kappa), ed 05/2017",1
"hws-, bws-syndrom",1
"anti-ccp-ak, rheumafaktor positive rheumatoide arthritis, ed 09/2014",1
pollinosis,1
belastungsasthma,1
klimakterische beschwerden,1
tinnitus aurium linksbetont,1
"rheumatoide arthritis, ed 1996, rheumafaktor- u. ccp-positiv",1
gastroäsophageale refluxkrankheit bei axialer hiatushernie,1
tinnitus aurium rechtsbetont,1
somatoformer schwindel,1
"hashimoto thyreoiditis, ed 2007",1
chron. schwindel,1
"polyarthrose, der finger-, hand- und sprunggelenke",1
hereditäres beinlymphödem,1
hypohyreose,1
autoimmune thyreoiditis,1
beginnende polyarthrose,1
degeneratives hws/bws-syndrom,1
"trigeminusneuralgie des 2.astes rechts, postinfektiös",1
wartenberg syndrom rechts,1
hws/bws-syndrom bei bandscheibenvorfällen in mehreren etagen,1
schultergelenksarthrose links,1
"bet, radiatio",1
karpaltunnel-syndrom bds.,1
"chronische polyarthritis, hla b27 pos.",1
zervikobrachial-syndrom rechts,1
sulcus ulnaris syndrom re,1
knieschmerze bds.,1
z. n. bösartiger neubildung brustdrüse,1
arzneimittelinduzierte osteoporose,1
"sigmadivertikulose, z. n. erstem schub einer sigmadivertikulitis 7/2012",1
oberkieferneuralgie rechts bei z. n. kieferostitis,1
bws- und lws-syndrom,1
khk ohne interventionsbedürftige stenosen,1
degeneratives lws,1
osteochondrosen lwk 4 bis swk 1,1
lichen rubber,1
einschränkung der tiefen inspiration,1
lumboischialgie rechts,1
rhizarthrose beidseits,1
chronische bauchbeschwerden,1
"m. crohn, ed 1990",1
chronische abdominelle schmerzen,1
inkompletter linksschenkelblock,1
nikotinkonsum,1
"seropositive rheumatoide arthritis, ed 09/2003",1
"niedrig malignen non-hodgkin-lymphom der b-zellreihe, ed 12/2016",1
"sensible, axonale polyneuropathie einschl. neuropathischer schmerz",1
"lupus erythematodes, ed 06/2013",1
"primär biliäre zirrhose, ed 2009",1
chronischer gesichtsschmerz beidseits bei,1
- postzosterneuralgie des neuralgie des n.trigeminus links (v3 links),1
- craniomadibuläre dysfunktion,1
"progressive systemische sklerodermie, scl-70 antikörper pos. (ed 1999)",1
"lungenfibrose mit mittelgradig eingeschränkter lungenkapazität, leichter diffusionsstörung und leicht erhöhtem pulmonalarteriellem druck",1
"schwere raynaud-symptomatik, z.n. fingerkuppenulcerationen",1
hypothyreose nach schilddrüsenresektion,1
überaktive blase mit dranginkontinenz,1
"sarkoidose, ed 08/2014",1
"morbus basedow, z.n. thyreoidektomie 4/2010",1
hyperventilation,1
"multiple sklerose, ed 2007",1
bandscheibenvorfall l2/3,1
fußheberparese links und sensibilitätsdefizit im dermatom l5,1
"colitis ulcerosa, ed 1997",1
v.a. colitis assoziierte arthritis,1
aa bei vorhofflimmern,1
tinnitus aurium re.,1
"morbus crohn, ed 06/2012",1
mit assoziierten arthralgien,1
chronische sinusitis max. und ethmoidalis bds.,1
hüfte schmerzen rechts,1
omalgie bds,1
impingement-syndrom der schulter rechts,1
achillodynie bds.,1
ulceröse refluxösophagitis,1
bursitis trochanterica rechts,1
struma nodosa diffusa,1
diabetes mellitus typ iie,1
"hashimoto thyreoiditis, ed 2017",1
hüftenschmerzen bds.,1
zehenfraktur 11/2011,1
rezid. beidseitigen knie- und hüftgelenkschmerzen rechts,1
"impingement-syndrom schultern bds., links mehr als rechts",1
chron. schmerzsyndrom der brust- und lendenwirbelsäule,1
primäre biliäre ama-negative zirrhose,1
leichte kognitive störung,1
großzehengrundgelenkarthrose li.,1
z.n. knie-schlittenprothese rechts 01/2023,1
überlappungssyndrom sjögren/systemischen lupus erythematodes,1
"arthritis psoriatica, hla-b27 negativ",1
"psoriasis capitis, ed 2002",1
"mit sekundärem lymphödem linkes bein, em 2008",1
tendinitis calcarea der rechten schulter,1
livedo racemosa bei antiphospolipid-syndrom,1
schulter schmerzen links,1
keratokonus bds.,1
"vielfache allergien gegen gräser, katze, etc.",1
unterleibschmerzen sowie rezidivierenden harnwegsinfekten,1
"z.n. teils endometroidem, teils klarzelligem adenokarzinom des endometrium, figo iib, ed 2010, z.n. wertheim-meigs-operation mit iatrogener ureterläsion 2010",1
"brusterhaltende therapie, radiochemotherapiebis 07/2016",1
"axiale spondyloarthritis, hla-27 positiv, ed 10/2014 mit",1
sekundäre fibromyalgie,1
"seronegative arthritis der hände, ed 2003, hla b 27 positiv",1
"asymmetrisch rechtsbetonte, sensorische polyneuropathie",1
pavk vom oberschenkeltyp,1
"colitis ulcerosa, ed 1989",1
bws-syndorm,1
colitis ulcerosa,1
degeneratives lws-syndrom mit osteochondrose l5/s1,1
impingement rechtes shultergelenk,1
hypothyreose bei z.n. strumektomie 2010,1
zystische fibrose mit sonstigen manifestationen,1
sekundär biliäre zirrhose,1
pankreasinsuffizienz,1
schleimig-eitrige chronische bronchitis,1
bronchiektasien,1
hydronephrose links,1
nephrolitiasis,1
generalisierte idiopatische epilepsie und epileptische syndrome,1
refluxösophagitis grad a,1
asthma bronchial,1
struma multinodosa mit großen zystischen knoten,1
antiphospholipid-ak,1
sekundäres sicca-syndrom,1
schwindel unklarer ursache,1
chronische pansinusitis mit anhaltender nasaler obstruktion,1
hws-syndrom links,1
"eisenmangelanämie, ed 2017",1
rechtschenkelblock,1
"hüfteschmerzen links,",1
rezidiv. paroxysmales vorhofflimmern,1
hüftenschmerzen linksbetont,1
* fibromyalgie,1
* degeneratives hws-syndrom,1
und im linken arm,1
copd gold grad ii/iii,1
hypothyreose bei z.n. partialer thyreoidektomie 1971,1
chronisches lumbales lws-syndrom,1
"rheumatoide arthritis, ed 2016, rheumafaktor und acpa-positiv",1
sekundäres fibromyalgie-syndrom,1
degeneratives lws- und hws-syndrom,1
großzehengrundgelenksarthrose bds.,1
"rezidiv. herpes-zoster-affektionen, meist gesäß b02.2,",1
oak mit marcumar,1
tendinitis calcarea der supraspinatussehne bds.,1
- v.a. -post-covid-19-syndrom,1
nichtorganische insomnei,1
wechseljahrenbeschwerden,1
lumbosacral-syndrom,1
"colitis ulcerosa, ed 2005",1
primäre koxarthrose bds.,1
radikulopathie lumbosakralbereich,1
"generalisierte, zirkumskripte sklerodermie",1
"xerosis cutis, integument",1
xerostomie,1
chron. lws-syndrom bei,1
bandscheibenprolaps l5/s1,1
hallux valgus et rigidus rechts mit metatarsalgie,1
reizknie rechts,1
v.a. neuralgie des n. ilioinguinalis links,1
"gastroösophageale refluxkrankheit, ohne ösophagitis",1
"m. grover, ed 2015",1
fibomyalgie,1
axonale demyelinisierende polyneuropathie,1
"feuchte makuladegeneration rechts, ed 03/2022",1
schmerzen im bereich des linken vorfußes,1
fingergelenkschmerzen,1
laktose unverträglichkeiten,1
polyneuropahtie,1
zervikobrachialsyndrom bds. mit pseudoradikuärensyndrom li. betont bei degen. veränderungen mit neuroforamenstenose c5/6 und c6/7 bds.,1
v.a. myopathie unklarer genese,1
multiple sklerose,1
z.n. septischer prostatitis bei vorbestehender prostatahyperplasie mit z. n. tupr und länger dauernder urininkontinenz,1
"mit funktionsstörung bei z.n. arbeitsunfall am 16.02.2015 mit distorsion li. handgelenk, knöchernen sl-bandausriss.",1
- parästhesien beider beine und li. arm,1
- gangstörung,1
z.n. thalamusinsult rechts 03/2018,1
"z.n. einkammer-sm-implantation (typ enitra 8 sr-t, fa biotronic bei",1
hochgradige skoliose im thorakolumbalbereich,1
"polyneuropathie, ed 2014",1
koxarthrose bds.,1
idiopatische sauer-parageusie,1
"koronare 2-gefäßerkrankung,",1
morbus menière links,1
vorhofflimmern paroxysmal,1
psoriasiformes ekzem,1
v.a. asthma bronchiale,1
* turner-syndrom (icd-10,1
chronischer kopfschmerz,1
hirnorganisches psychosyndrom mit leichter kognitiver störung bei,1
kalottenfraktur und frontobasisfraktur rechts,1
degeneratives hws syndrom,1
spondylolisthesis l5/s1,1
"z.n. ileus bei stenosierendem colon ascendens-karcinom (pt3, g2, pn2b (20/25) mx, lokal r0, l1, v1, stadium iii c. z.n. z.n. hemicolektomie rechts mit ileotransversostomie (07.06.2017)",1
zervikale spinalkanalstenose mit beginnender zervikaler myelopathie,1
und acpa-positiv,1
steatosis hepatis grad ii,1
"colitis ulcerosa, ed 08/2017",1
"lungenfibrose unklarer genese, ed 2018",1
"beinbetonte, primär axonale polyneuropathie",1
restless leggs sydrom,1
"rheumatoide arthritis, anti-ccp positiv, rf negativ, ed 2011",1
kalkaneusfraktur 2006 nach arbeitsunfall,1
z. n. spondylodese 03/2006,1
"z.n. mamma ca re. 9/2024, mit konsek. operation und radio",1
fingergelenkarthrose iii rechts,1
"anti-ccp-ak, rheumafaktor positive rheumatoide arthritis, ed 2011",1
hypothyreose mit substitutionstherapie,1
"koxarthrose links, z.n. hüft-tep 2017 li",1
autonome dysregulation mit generalisierter hyperhidrose,1
reflux im ösohpagus,1
interkostalneuralgie re. nach rippenfraktur,1
