term,document_count,percent
stunden,81,13.7
hypothyreose,80,13.5
kälteempfindlich kalte,80,13.5
leicht,80,13.5
durchgeführt,80,13.5
rechte,80,13.5
bewegung,79,13.3
besonderheiten appendektomie,79,13.3
vordergrund,79,13.3
allergie,79,13.3
nichtorganische insomnie,78,13.2
behandelt,78,13.2
insomnie,78,13.2
klebriger,78,13.2
zusammenhang,78,13.2
vermehrte blähungen,78,13.2
mehreren,78,13.2
müdigkeitssymptomatik leiden,78,13.2
deutlich reduziert,78,13.2
bein,77,13.0
letzte,77,13.0
bedarfsmedikation ibuprofen,77,13.0
weiteres,76,12.8
gefasst,76,12.8
nacht,76,12.8
teilweise gedrückt,76,12.8
kurz gefasst,76,12.8
reduziert fühle,75,12.7
temperaturtoleranz eher,75,12.7
erschöpfungssymptomatik,75,12.7
wärme manuelle,75,12.7
betroffen,74,12.5
schwankend teilweise,74,12.5
lokalisiert,74,12.5
knieschmerzen,74,12.5
kommt,73,12.3
intermittierende schmerzen,73,12.3
geht,73,12.3
form,73,12.3
zunge gedunsen,72,12.2
antrieb leistungsfähigkeit,72,12.2
migräne,72,12.2
asthma,72,12.2
seien stark,72,12.2
fünf jahren,72,12.2
dünner,71,12.0
berichte kurz,71,12.0
längerem,71,12.0
bronchiale,71,12.0
völlegefühl,70,11.8
spannungskopfschmerzen,70,11.8
führen,70,11.8
monaten,70,11.8
verspannungen,70,11.8
berentet körperlicher,70,11.8
nennt,70,11.8
ganz,70,11.8
überwiegend,69,11.7
ständig,69,11.7
syndrom syndrom,69,11.7
woche,68,11.5
warm,68,11.5
asthma bronchiale,68,11.5
stark eingeschränkt,68,11.5
post,68,11.5
durstgefühl normal,68,11.5
nierenpuls,67,11.3
candesartan,67,11.3
selten,67,11.3
spüre,67,11.3
infektion,67,11.3
könne,67,11.3
beinen,67,11.3
übergewichtem,67,11.3
verstärkt,66,11.1
ausgeprägte nacken,66,11.1
covid erkrankung,65,11.0
fibromyalgie,65,11.0
klebriger belag,65,11.0
hinzu,65,11.0
schlafstörungen,65,11.0
ibuprofen übliche,64,10.8
wöchentlich,64,10.8
erwähnt,64,10.8
morgens,64,10.8
geburt menopause,64,10.8
besonderheiten tonsillektomie,64,10.8
dekristol,64,10.8
weißer,64,10.8
saitenförmig,64,10.8
hinaus leide,63,10.6
übergewichtem haut,63,10.6
langsam,63,10.6
seitdem,63,10.6
alkoholkonsum mutter,63,10.6
post covid,63,10.6
merkfähigkeitsstörungen schlaf,63,10.6
phasen,63,10.6
positive arterielle,63,10.6
schmerzlindernde,63,10.6
depression,63,10.6
schnell,63,10.6
